link,description,influencer,filename,place_name,type,address,isEvent
https://www.instagram.com/reel/CzWQSNAuSfr/3230841402350446571,"opening on 11/9! 🥹
_
@hojokban, a popular restaurant in Seoul, is opening a location (@hojokban.nyc) at 128 Madison Avenue in a couple of days! I was grateful to try the menu before the opening and everything was really tasty. Not one bad dish and we basically tried the entire menu 😂; i loved the little appetizer they start you out with - kimchi paired with slightly caramelized goguma (korean sweet potato). All of the labeled “signature dishes” on the menu are really solid; we especially loved the marinated galbi, ssook-got salad (reminds me of don angie’s chrysanthemum salad), jangjorim butter fried rice and yakbap mont blanc dessert (so good that we ordered two).
.
.
.
.
.
.
.
.
.
#nyceatssss #koreanfoodlover #koreanfood",jennerous_eats,2023-11-07_14-13-16_UTC.mp4,Hojokban,USA,"Hojokban, 128 Madison Avenue, NYC, NY",
https://www.instagram.com/reel/CzWXyTkP4xx/3230874394737740913,"this is your sign to get your SKIN ANALYSIS in Seoul before going on a skincare splurge at Olive Young! I went to @individuelgeneve_kr_official and yes, they’re foreigner friendly! We became besties by the end of my session so if you let them know I brought you there, they’re going to give you a discount! 

#korea #koreanskincare #kbeauty #kbeautytrend #skincare #피부관리 #스킨케어 #koreanfacial #koreantrip #medspa #피부 #서올 #seoul #thingstodoinseoul #seoultourist #seoulmustdo #individuelgeneve #loveyourself #glowingskin #facial #seoulfacial #oliveyoung #facialkorea",priscillakwon,2023-11-07_15-22-48_UTC.mp4,Individuel Geneve,South Korea,"Individuel Geneve, Seoul",
https://www.instagram.com/reel/CzWXyTkP4xx/3230874394737740913,"this is your sign to get your SKIN ANALYSIS in Seoul before going on a skincare splurge at Olive Young! I went to @individuelgeneve_kr_official and yes, they’re foreigner friendly! We became besties by the end of my session so if you let them know I brought you there, they’re going to give you a discount! 

#korea #koreanskincare #kbeauty #kbeautytrend #skincare #피부관리 #스킨케어 #koreanfacial #koreantrip #medspa #피부 #서올 #seoul #thingstodoinseoul #seoultourist #seoulmustdo #individuelgeneve #loveyourself #glowingskin #facial #seoulfacial #oliveyoung #facialkorea",priscillakwon,2023-11-07_15-22-48_UTC.mp4,Olive Young,South Korea,"Olive Young, Seoul",
https://www.instagram.com/reel/CzYK7ykyqUk/3231380821856920868,"2023 최고 유행템 깍둑항정🥹ㅋㅋㅋㅋ

네모네모 팅그르르 생긴거부터 귀욤뽀작인데 껍데기는 쪼온-듹, 살코기는 뽀득하게 씹히면서 잇몸사이로 육즙 워터밤 도른놈😳

왕크게 왕 먹으면 왕 행복혀,,

@@ 이자식 혼쭐내러 가쟈!!!!

▫️#을지정육 
서울 중구 충무로5길 24 1층
▫️매일 10:30-22:30

#을지로맛집 #을지로술집 #을지로3가맛집 #종로맛집 #항정살맛집 #충무로맛집 #깍둑항정",hye_foodie_,2023-11-08_08-04-04_UTC.mp4,을지정육,South Korea,"을지정육, 서울 중구 충무로5길 24 1층, Seoul",
https://www.instagram.com/reel/CzYZjgLSHNS/3231445123531830098,"🐟Hitsumabushi of the finest eel from a Michelin-starred restaurant🐟

【StoreName、店铺名称、가게 이름】
Una Fuji
鳗富士
우나후지

【Place、地方、장소】
3F Tokyo Midtown Yaesu, 2-2-1 Yaesu, Chuo-ku, Tokyo
东京都中央区八重洲2-2-1 东京Midtown八重洲 3F
도쿄도 주오구 야에스 2-2-1  도쿄 미드타운 야에스 3F

【Menu、菜单、메뉴】
Kami-Hitsumabushi with liver ¥6,900(tax included)
带鳗鱼肝上等蒲烧鳗鱼6,900日币(含税)
간이 들어간  히츠마부시 ¥6,900(부가세포함)

What we introduce to you today is Charcoal Grilled Eel Fuji in Tokyo Station!
The finest eel carefully grilled over a charcoal fire is exquisite! It is  great eaten on its own, with condiments on top or with dashi broth, so enjoy it however you like!
今天介绍東京站的「炭火直烤鳗鱼店鳗富士」！
用炭火细心烤烧的上等绝品鳗鱼！烤成即现吃的，或加上七味等，或浇上汤汁，可按自己喜好的吃法享用！
오늘 소개드릴 곳은 도쿄역에 있는 '숯구이 우나후지'!
숯불에 정성스럽게 구워진 최상의 장어가 일품! 그냥 먹어도, 양념을 얹어도, 육수를 뿌려도 최고였으니 원하는 방식으로 즐겨보세요!

#savorjapan 
#japanesefood #japantrip #Tokyogourmets
#tokyogourmet #Japanesefood #eel
#日本料理 #日本旅行 #东京美食 #東京美食 #鳗鱼
#일본음식 #일본여행 #도쿄맛집 #도쿄맞집 #일본음식 #뱀장어",savor_japan,2023-11-08_10-12-15_UTC.mp4,Una Fuji,Restaurant,"Una Fuji, 3F Tokyo Midtown Yaesu, 2-2-1 Yaesu, Chuo-ku, Tokyo, Japan",no
https://www.instagram.com/reel/Czdf_jyhcR1/3232880814719353973,"Are you a fan of BEEF PEPPER? 🥩✨ This is the simplified version of it and it's also as gooood! I love it when the rice gets crispy on the bottom and eat it while it's piping hot!

SAUCE RECIPE

Servings: 1-2 portions
1 tsp black pepper
3 ea grated garlic
2 tbsp honey
1 tbsp oyster sauce
3 tbsp tamari
Pinch of salt

🥩 Mix em all up and set aside

TO COOK:
250 gr sliced beef (I used diced wagyu but if you use a steak like me it's better to sear both sides first for 2 minutes, set aside, and slice)
1 cup rice
125 gr canned corn
1 ea spring onion
20 gr butter
More peoper if needed

🥩 Heat up your skillet with high heat. Add 1 tsp oil and cook 1/2 ea sliced onion for 1 minute
🥩 Assemble beef, rice, corn, spring onion, butter and leave it for 2 minutes on high heat
🥩 Pour in the sauce and mix em all up
🥩 TIPS ✨ If you want a crispy bottom, spread the rice evenly and leave if for 3-5 minutes or until you find the bottom crisp up.

ENJOY AND DON'T BURN YOUR TOUNGE! 🔥 If you make this recipe make sure to tag me because I loveee seeing your creations!

#pepperlunch #dinnerideas",verorocherr,2023-11-10_09-45-24_UTC.mp4,There is no location information in the provided text.,,There is no location information in the provided text.,
https://www.instagram.com/reel/CziW0OTvebR/3234247828205070033,"for you salmon lovers out there 🍣 

I tried the viral salmon noodles to see if it’s worth the trip 🩷

Definitely mix it up with the other dishes or else 😵‍💫 the crab 🦀 & other main dishes are soso good you need to try it out 💓

📍 Mippeudong, hongdae

#koreanfood #koreafood #먹스타 #seoul #韓国料理 #southkorea #seoultravel #kfood #카페추천 #koreatravel #noodles #korea",sosueee_,2023-11-12_07-00-45_UTC.mp4,Mippeudong,South Korea,"Mippeudong, Hongdae, Seoul",
https://www.instagram.com/reel/Czk1Th-Pup1/3234944870971796085,"Must try doughnuts 🍩 in South Korea 🇰🇷

📍ABEBE BAKERY, Jongno-gu (near Gwangjang Market)

Address on G-Maps: 201 Cheonggyecheon-ro, Yeji -dong, Jongno-gu, Seoul, South Korea

Serving a range of both sweet and savoury doughnuts that are filled generously 😍. So happy that I chose to come back to this spot and line up 🥰 cause it was one of my favourite pastries I purchased during my trip 🤗. It used to only exist in Jeju, but now you can get it in Seoul 🙌.

Watch the reel to see what my favourites were ❤️.

⭐️- recommend

Ordered:
🍠 Sweet potato doughnut ₩2900 ⭐️
🥜 Peanut doughnut ₩2900 ⭐️
🍎 Apple doughnut ₩3300
🍃Mugwort doughnut ₩3800

#food #foodie #travel #travellife #southkorea #korean #koreanfood #seoultrip #southkoreatrip #travelvlog #thingstodoinseoul #koreancafe #foodinkorea #gwangjangmarket #abebe #abebebakery #seoulbakery #koreanbread #doughnuts #donut",oshiieats,2023-11-13_06-05-26_UTC.mp4,ABEBE BAKERY,Bakery,"ABEBE BAKERY, 201 Cheonggyecheon-ro, Yeji-dong, Jongno-gu, Seoul, South Korea",no
https://www.instagram.com/reel/CzlRI4fSz7I/3235067284536639176,"Where would you visit first if you come to Seoul and why??
#bukhonhanokvillage 
#myeongdong 
#namsantower 
#bonguesatemple 
#seoulforest 
#starfieldlibrary 

#gyeongbokgungpalace 
#hanriver 

#foryou #fyp #foryoupage 
#travellife  #travelkorea #seoultravel #blackpinklisa 
#seoul #seoullife #bts #kdrama #blackpink #jungkook #jimin #kpop #studyinkorea #learnkorean #kdramalover  #oppa #saranghae #fangirl #kimchi",seoulvoyeger,2023-11-13_10-16-55_UTC.mp4,Bukchon Hanok Village,Village,"Bukchon Hanok Village,Seoul,South Korea",no
https://www.instagram.com/reel/CzlRI4fSz7I/3235067284536639176,"Where would you visit first if you come to Seoul and why??
#bukhonhanokvillage 
#myeongdong 
#namsantower 
#bonguesatemple 
#seoulforest 
#starfieldlibrary 

#gyeongbokgungpalace 
#hanriver 

#foryou #fyp #foryoupage 
#travellife  #travelkorea #seoultravel #blackpinklisa 
#seoul #seoullife #bts #kdrama #blackpink #jungkook #jimin #kpop #studyinkorea #learnkorean #kdramalover  #oppa #saranghae #fangirl #kimchi",seoulvoyeger,2023-11-13_10-16-55_UTC.mp4,Myeongdong,Shopping District,"Myeongdong,Seoul,South Korea",no
